## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics --BAIT_INTERVALS /cromwell-executions/targeted_sequencing/de21038b-d939-40dd-a460-131dded37f4b/call-collect_metrics_/collect_metrics/d0f6bae9-6361-4a10-befa-f4eb061bcae5/call-collect_metrics_/inputs/78980509/list.interval_list --TARGET_INTERVALS /cromwell-executions/targeted_sequencing/de21038b-d939-40dd-a460-131dded37f4b/call-collect_metrics_/collect_metrics/d0f6bae9-6361-4a10-befa-f4eb061bcae5/call-collect_metrics_/inputs/-1249918678/list.interval_list --INPUT /cromwell-executions/targeted_sequencing/de21038b-d939-40dd-a460-131dded37f4b/call-collect_metrics_/collect_metrics/d0f6bae9-6361-4a10-befa-f4eb061bcae5/call-collect_metrics_/inputs/-1148966765/test_data.chr1.bam --OUTPUT picard_output.txt --REFERENCE_SEQUENCE /cromwell-executions/targeted_sequencing/de21038b-d939-40dd-a460-131dded37f4b/call-collect_metrics_/collect_metrics/d0f6bae9-6361-4a10-befa-f4eb061bcae5/call-collect_metrics_/inputs/-1148966765/chr1.fa --METRIC_ACCUMULATION_LEVEL ALL_READS --NEAR_DISTANCE 250 --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 17 13:06:47 GMT 2023

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
list	14420942	0.005056	2373820	695246	48121734	0.059953	0.940047	0.773467	0.164609	0.046317	0.02559	9.968116		0	0	0	0	0	0	72915	3099922541	9696	9696	51251111	9507	9507	51190800	50156783	1311506	1	0.980507	1	17.986779	1	109	0	0	0.020199	0	0.024352	0.005509	0	0.924319	?	0.523239	0.475842	0.324309	0.278242	0.230323	0.191908	0.171213	0.024179	0	0	0	0	0	0	0	0	0	0	0	0.481219	3			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	34763	0
1	3456	0
2	3265	0
3	1320	310
4	2273	500
5	1527	435
6	502	437
7	879	437
8	706	435
9	577	460
10	451	452
11	538	471
12	435	522
13	361	577
14	160	605
15	195	673
16	260	721
17	391	767
18	291	792
19	277	874
20	482	891
21	386	980
22	175	1064
23	716	1122
24	236	1193
25	292	1309
26	303	1383
27	239	1490
28	357	1526
29	308	1565
30	384	1661
31	280	1793
32	241	2007
33	244	2007
34	327	2035
35	238	2111
36	320	2307
37	434	2427
38	243	2634
39	90	2515
40	126	2740
41	189	2904
42	249	3075
43	155	3591
44	134	3199
45	126	3307
46	129	3132
47	116	3285
48	107	3731
49	178	3421
50	217	3995
51	343	4325
52	288	4148
53	312	4222
54	146	4288
55	197	3801
56	190	3719
57	269	3973
58	284	4059
59	161	3980
60	291	4362
61	133	4004
62	156	4494
63	233	4692
64	224	4682
65	235	5057
66	266	4756
67	681	4449
68	353	4250
69	265	4048
70	217	3511
71	87	3829
72	157	4091
73	152	3682
74	183	3853
75	172	4085
76	234	4154
77	183	4014
78	170	4489
79	220	4480
80	198	4213
81	189	3946
82	149	3980
83	135	3637
84	55	3686
85	118	3373
86	110	3246
87	218	3225
88	313	3222
89	190	3434
90	156	3370
91	275	3336
92	227	3572
93	299	1073369
94	178	0
95	318	0
96	216	0
97	147	0
98	179	0
99	32	0
100	61	0
101	96	0
102	108	0
103	93	0
104	111	0
105	218	0
106	221	0
107	288	0
108	354	0
109	213	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0

